Id,Label,timeset,package name,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
201602,,,nlab,0,0,0,0,1734,0,0,0,0,0,0,0,0,0,0,0.000147
201628,,,nlp,0,0,0,0,2709,3,0,3,0,0.066864,0.030459,0,3,0,3,0.000149
201633,,,nlp2go,0,0,0,0,450,2,0,2,0.5,0.271522,0.00432,0,2,0,2,0.000312
201637,,,nlp-architect,0,0,0,0,2712,7,0,7,0.047619,0.202715,0.036113,0,7,0,7,0.000161
201648,,,nlpaug,2,0.75,0.833333,0,2712,0,2,2,0,0,0,0.001072,0,2,2,0.000147
201649,,,nlpbook,0,0,0,0,2942,4,0,4,0.333333,0.302714,0.03039,0,4,0,4,0.000157
201654,,,nlp-dataset-readers,0,0,0,0,1735,0,0,0,0,0,0,0,0,0,0,0.000147
201661,,,nlper,0,0,0,0,1736,0,0,0,0,0,0,0,0,0,0,0.000147
201669,,,nlpcloud,0,0,0,0,1737,0,0,0,0,0,0,0,0,0,0,0.000147
201680,,,nlpia,0,0,0,0,1738,0,0,0,0,0,0,0,0,0,0,0.000147
201701,,,nlpiper,0,0,0,0,450,4,0,4,0,0.072253,0.002288,0,4,0,4,0.000171
201702,,,nlpblock,0,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0.000147
201704,,,nlplab,0,0,0,0,1740,0,0,0,0,0,0,0,0,0,0,0.000147
201714,,,nlp-preprocessing-wrappers,0,0,0,0,450,3,0,3,0.166667,0.071124,0.025986,0,3,0,3,0.000165
201716,,,nlpatl,0,0,0,0,2942,6,0,6,0.3,0.342048,0.03631,0,6,0,6,0.000158
201720,,,nlpbinarydisasteraiopslibs,0,0,0,0,1741,0,0,0,0,0,0,0,0,0,0,0.000147
201736,,,nlp-pytorch-zh,0,0,0,0,1742,0,0,0,0,0,0,0,0,0,0,0.000147
201738,,,nlprep,0,0,0,0,2695,3,0,3,0.333333,0.307287,0.005598,0,3,0,3,0.000171
201754,,,nlptoolkit-classification,0,0,0,0,1743,0,0,0,0,0,0,0,0,0,0,0.000147
201783,,,nlptoolkit-classification-cy,0,0,0,0,1744,0,0,0,0,0,0,0,0,0,0,0.000147
201792,,,nlpia2,0,0,0,0,450,2,0,2,0,0.009423,0.025885,0,2,0,2,0.000151
201835,,,nlstruct,0,0,0,0,1745,0,0,0,0,0,0,0,0,0,0,0.000147
