Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,eigencentrality,pageranks
340045,,,torch-struct,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340047,,,torch-ssd,1,0,0,0,0,5179,0,0,0,0,0,0,0,0,0,0,0.000077
340048,,,torch-runstats,1,1,1,1,0,4993,0,1,1,0,0,1,1,0,0.000412,0,0.000077
340050,,,torch-sparse,1,1,1,1,0,4993,0,8,8,0,0,8,8,0,0.003412,0,0.000077
340052,,,torchsummary,1,1,1,1,0,3874,0,11,11,0,0,12,12,0,0.004387,0,0.000077
340053,,,torchswarm,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340054,,,torchspn,1,0,0,0,0,5180,0,0,0,0,0,0,0,0,0,0,0.000077
340055,,,torchserve-dashboard,1,0,0,0,0,5181,0,0,0,0,0,0,0,0,0,0,0.000077
340056,,,torch-tagger,1,0,0,0,0,5182,0,0,0,0,0,0,0,0,0,0,0.000077
340057,,,torchstruct,1,0,0,0,0,5183,0,0,0,0,0,0,0,0,0,0,0.000077
340058,,,torch-tb-profiler,1,0,0,0,0,5184,0,0,0,0,0,0,0,0,0,0,0.000077
340059,,,torchsubband,1,0,0,0,0,5185,0,0,0,0,0,0,0,0,0,0,0.000077
340061,,,torchsynth,1,0,0,0,0,5186,0,0,0,0,0,0,0,0,0,0,0.000077
340062,,,torchtable,1,0,0,0,0,5187,0,0,0,0,0,0,0,0,0,0,0.000077
340065,,,torchtensorrt,1,0,0,0,0,5188,0,0,0,0,0,0,0,0,0,0,0.000077
340066,,,torchtestcase,1,0,0,0,0,5189,0,0,0,0,0,0,0,0,0,0,0.000077
340067,,,torch-tensornet,1,0,0,0,0,5190,0,0,0,0,0,0,0,0,0,0,0.000077
340071,,,torchtilities,1,0,0,0,0,5191,0,0,0,0,0,0,0,0,0,0,0.000077
340076,,,torch-topological,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340079,,,torch-tools,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
