Source,Target
330594,18246
339622,18255
330621,18277
357340,18290
358682,18290
6911,18292
24661,18292
44686,18292
330594,18292
158188,18337
330594,18359
96983,18396
97286,18396
105956,18396
140433,18396
161106,18396
167541,18396
167610,18396
242837,18396
269255,18396
275883,18396
301327,18396
316503,18398
314121,18469
123058,18471
6911,18485
322047,18485
330504,18498
339622,18498
201648,18504
339622,18504
339629,18504
123058,18506
302234,18506
339622,18506
342003,18506
97286,18516
158188,18518
330594,18518
330544,18518
330594,18530
330638,18530
314121,18550
339622,18560
330504,18573
330531,18573
339622,18597
330594,18633
339622,18697
339629,18697
66628,18822
342131,18822
123058,18846
330594,18850
123058,18854
302255,18855
339622,18855
342003,18855
6911,18888
96983,18888
144258,18888
242837,18888
301327,18888
336343,18888
339622,18888
339629,18888
322047,18915
339622,18999
158188,19092
330594,19092
339622,19092
6911,19095
342003,19140
342087,19167
158188,19187
330594,19187
339622,19187
330594,19197
330621,19197
202087,19205
220205,19205
339622,19205
314121,19206
302234,19232
314121,19232
323388,19232
338047,19232
322047,19233
123058,19235
158188,19235
314121,19235
322047,19235
342003,19235
339622,19326
330504,19333
339622,19342
339622,19342
322047,19382
330504,19469
330594,19469
339622,19469
330594,19478
330594,19482
330594,19523
330594,19527
339622,19560
339622,19574
339622,19579
125222,19599
158188,19599
302234,19599
302646,19599
316597,19599
330504,19599
330594,19599
330544,19599
330603,19599
330613,19599
330635,19599
330680,19599
333636,19599
339622,19607
158188,19636
330594,19636
330594,19648
330594,19663
330638,19663
330594,19686
330504,19690
339622,19690
339700,19690
187439,19691
9927,19731
26533,19731
199467,19731
302234,19731
302255,19731
342003,19731
26533,19767
199467,19767
302234,19767
314121,19767
339622,19767
342003,19767
330594,19796
339622,19951
330594,19989
339622,19989
348828,20076
339622,20098
197261,20128
339622,20181
118062,20299
339622,20385
342003,20385
338047,20406
339622,20406
228526,20436
322047,20442
302234,20448
302255,20448
338047,20448
339622,20448
342003,20448
314121,20469
322047,20475
19221,20516
295459,21434
295384,21434
66496,21475
144258,21765
330594,21765
333263,21765
158188,21771
330594,21771
330594,21800
32146,21862
330531,21921
339622,21921
325830,22218
66496,22226
288812,22246
330594,22438
330621,22438
63749,22440
302646,22440
339622,22440
342003,22440
123058,22443
158184,22443
221727,22443
330504,22449
339622,22449
242837,22452
275852,22452
288084,22452
336343,22452
339622,22452
242837,22458
275852,22458
288084,22458
339622,22458
158188,22461
339622,22475
123058,22487
330621,22492
339622,22496
158188,22501
330594,22501
123058,22519
158184,22519
221727,22519
123058,22524
158184,22524
221727,22524
221727,22540
147157,22546
339622,22631
330594,22695
330638,22695
330594,22733
333465,22733
330531,22774
97286,22924
339622,22924
158188,22971
330504,22971
330594,22971
330588,22971
330504,23050
330594,23050
330603,23050
330588,23050
330655,23050
339622,23050
19221,23084
129124,23084
330638,23084
158188,23096
330594,23096
262934,23151
245806,23167
66494,23220
123058,23238
87712,23615
87783,23615
87909,23615
89695,23615
125222,23615
330594,23615
330638,23615
112104,23657
123058,23657
295668,23674
330594,23674
330594,23702
342003,23702
330594,23705
123058,23764
66964,23774
111718,23774
314121,23774
339622,23774
201648,23807
302255,23807
314121,23807
123058,23862
314121,23862
369866,23930
322047,24003
24036,24034
130195,24034
330504,24034
330594,24034
330638,24034
333290,24034
330594,24119
66494,24270
66958,24306
330594,24653
330621,24653
66496,24664
339622,24671
66496,24675
342186,24707
158188,24753
302234,24803
314121,24803
330594,24803
330638,24803
342003,24803
348573,24803
330594,24808
330638,24808
