Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
6124,,,airflow-ray-executor,0,0,0,0,0,2612,1,0,1,0,0.001857,0.000186,0,1,0,1,0.000075
6181,,,aironsuit,0,0,0,0,0,2626,3,0,3,0.333333,0.09922,0.005467,0,3,0,3,0.000076
6183,,,airontools,0,0,0,0,0,2612,2,0,2,0.5,0.03436,0.005296,0,2,0,2,0.000075
6237,,,airsim,1,1,1,1,0,62,0,1,1,0,0,0,0,0,1,1,0.000075
6332,,,ai-serving-client,1,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0.000075
6340,,,ai-serving-server,1,0,0,0,0,2626,3,0,3,0,0.066864,0.00435,0,3,0,3,0.000081
6341,,,aislib,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
6346,,,aisquared,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
6348,,,ai-starter,0,0,0,0,0,988,2,0,2,0,0.015963,0.000026,0,2,0,2,0.000081
6352,,,ai-sudoku-solver,0,0,0,0,0,2948,2,0,2,0.5,0.160623,0.004172,0,2,0,2,0.000076
6354,,,aisy-database,1,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0.000075
6356,,,aisy-sca,1,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0.000075
6368,,,aistnet,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
6373,,,aitextgenaws,0,0,0,0,0,71,3,0,3,0.333333,0.230394,0.019781,0,3,0,3,0.000075
6375,,,aitg-doctools,0,0,0,0,0,2422,1,0,1,0,0.009021,0.000874,0,1,0,1,0.000075
6377,,,aitg,0,0,0,0,0,2948,3,0,3,0.333333,0.15966,0.019391,0,3,0,3,0.000075
6385,,,aitk.keras,1,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0.000075
6396,,,aitk,1,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0.000075
6397,,,aisimplekit,0,0,0,0,0,2624,2,0,2,0.5,0.033633,0.004952,0,2,0,2,0.000075
6401,,,aitk.networks,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
6405,,,ai-training-utils,0,0,0,0,0,2612,1,0,1,0,0.001129,0.001351,0,1,0,1,0.000075
6406,,,ai-traineree,1,0,0,0,0,71,4,0,4,0.166667,0.005173,0.016924,0,4,0,4,0.000091
6407,,,aitg-host,0,0,0,0,0,2948,3,0,3,0.333333,0.15966,0.019391,0,3,0,3,0.000075
6408,,,aitoolbox,1,0,0,0,0,2991,6,0,6,0.133333,0.278222,0.020345,0,6,0,6,0.000086
6412,,,ai-transformersx,1,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0.000075
6421,,,ai-trainer,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
6433,,,aiutil,0,0,0,0,0,988,1,0,1,0,0.000402,0.000015,0,1,0,1,0.000076
6444,,,ai-utils,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
6445,,,aisaratuners,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
6464,,,aix360,1,0,0,0,0,2624,3,0,3,0.166667,0.034034,0.020468,0,3,0,3,0.000075
6468,,,aiymakerkit,0,0,0,0,0,2623,1,0,1,0,0.000402,0.000003,0,1,0,1,0.000084
6470,,,aistore,0,0,0,0,0,2624,3,0,3,0.166667,0.077331,0.01968,0,3,0,3,0.000075
6660,,,akid,1,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0.000075
6691,,,akkadian,0,0,0,0,0,2422,1,0,1,0,0.116304,0.000125,0,1,0,1,0.000076
6770,,,alaas,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0.000075
6788,,,aladdin,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
6823,,,alarmer,0,0,0,0,0,111,1,0,1,0,0.000402,0,0,1,0,1,0.000083
6829,,,alaska,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
6890,,,albumentations-experimental,0,0,0,0,0,71,1,0,1,0,0.001129,0.000377,0,1,0,1,0.000075
